"simID","p","dhat"
2436,0.83,0.175512820512821
2437,0.83,0.168076923076923
2438,0.83,0.170384615384615
2439,0.83,0.165512820512821
2440,0.83,0.173974358974359
2441,0.83,0.16448717948718
2442,0.83,0.161794871794872
2443,0.83,0.169230769230769
2444,0.83,0.165384615384615
2445,0.83,0.174358974358974
2446,0.83,0.15974358974359
2447,0.83,0.170128205128205
2448,0.83,0.170769230769231
2449,0.83,0.163974358974359
2450,0.83,0.167179487179487
2451,0.83,0.163461538461538
2452,0.83,0.169358974358974
2453,0.83,0.172564102564103
2454,0.83,0.166410256410256
2455,0.83,0.16974358974359
2456,0.83,0.150897435897436
2457,0.83,0.160769230769231
2458,0.83,0.166794871794872
2459,0.83,0.16448717948718
2460,0.83,0.164102564102564
2461,0.83,0.168846153846154
2462,0.83,0.175769230769231
2463,0.83,0.159102564102564
2464,0.83,0.163076923076923
2465,0.83,0.158717948717949
2466,0.83,0.168846153846154
2467,0.83,0.170897435897436
2468,0.83,0.165897435897436
2469,0.83,0.16
2470,0.83,0.174102564102564
2471,0.83,0.166025641025641
2472,0.83,0.167051282051282
2473,0.83,0.164230769230769
2474,0.83,0.162692307692308
2475,0.83,0.165769230769231
2476,0.83,0.164102564102564
2477,0.83,0.170512820512821
2478,0.83,0.163333333333333
2479,0.83,0.166538461538462
2480,0.83,0.165897435897436
2481,0.83,0.160384615384615
2482,0.83,0.163461538461538
2483,0.83,0.167820512820513
2484,0.83,0.158333333333333
2485,0.83,0.171923076923077
2486,0.83,0.161153846153846
2487,0.83,0.169358974358974
2488,0.83,0.170384615384615
2489,0.83,0.166153846153846
2490,0.83,0.163461538461538
2491,0.83,0.15525641025641
2492,0.83,0.166410256410256
2493,0.83,0.163076923076923
2494,0.83,0.173846153846154
2495,0.83,0.172948717948718
2496,0.83,0.167948717948718
2497,0.83,0.165897435897436
2498,0.83,0.155512820512821
2499,0.83,0.164871794871795
2500,0.83,0.173589743589744
2501,0.83,0.159615384615385
2502,0.83,0.173205128205128
2503,0.83,0.167051282051282
2504,0.83,0.162179487179487
2505,0.83,0.173205128205128
2506,0.83,0.163589743589744
2507,0.83,0.167564102564103
